,Time,Ethereum Volume
680,1645228800000,16064045339.56507
681,1645315200000,9956229564.570753
682,1645401600000,12215462928.563446
683,1645488000000,19206327576.145523
684,1645574400000,16856627508.447924
685,1645660800000,13713218952.651205
686,1645747200000,30992409365.835472
687,1645833600000,17751279835.572117
688,1645920000000,11984293384.913609
689,1646006400000,17309819254.70233
690,1646092800000,19832961026.345818
691,1646179200000,19012291817.365406
692,1646265600000,17023997910.606855
693,1646352000000,13786702924.254955
694,1646438400000,15538211354.189482
695,1646524800000,8652610729.437431
696,1646611200000,9377488374.702219
697,1646697600000,15295190068.57191
698,1646784000000,14681251925.804962
699,1646870400000,15208159162.669767
700,1646956800000,13843643777.451271
701,1647043200000,12313723771.430836
702,1647129600000,6288630630.865574
703,1647216000000,8570037700.961715
704,1647302400000,10951215810.637651
705,1647388800000,12439580087.508198
706,1647475200000,19785262485.166782
707,1647561600000,12593189074.637096
708,1647648000000,14540256794.800894
709,1647734400000,10359721811.614828
710,1647820800000,11304953073.460001
711,1647907200000,13890729058.80007
712,1647993600000,15671928047.784338
713,1648080000000,14257143986.39263
714,1648166400000,16202188701.767122
715,1648252800000,15532463157.18736
716,1648339200000,7615867102.157496
717,1648425600000,11980084883.788645
718,1648512000000,18514225350.60662
719,1648598400000,17936369661.586555
720,1648684800000,14183468637.6598
721,1648771200000,16222256121.186861
722,1648857600000,19701116865.137077
723,1648944000000,22091140764.533768
724,1649030400000,14019828281.404171
725,1649116800000,16925919013.954468
726,1649203200000,15114055501.97898
727,1649289600000,26109763334.73009
728,1649376000000,16149775914.530878
729,1649462400000,17523939555.353264
730,1649523113000,12506067846.008152
