,Time,Fantom Market Cap
481,1628035200000,607946437.5694721
482,1628121600000,624639136.2814997
483,1628208000000,659092077.3862753
484,1628294400000,711621016.3420203
485,1628380800000,720647564.4701829
486,1628467200000,679417589.0356774
487,1628553600000,704837374.2777652
488,1628640000000,749925580.2211019
489,1628726400000,808678510.347117
490,1628812800000,781920556.791099
491,1628899200000,881306170.7325988
492,1628985600000,860302903.905274
493,1629072000000,882829423.8431739
494,1629158400000,1038656137.1978039
495,1629244800000,1017230720.0507141
496,1629331200000,1078504625.7681875
497,1629417600000,1222624982.949285
498,1629504000000,1249159905.0667005
499,1629590400000,1448888148.4741378
500,1629676800000,1418153773.6647058
501,1629763200000,1415722202.1509454
502,1629849600000,1245081741.666223
503,1629936000000,1267339757.7292793
504,1630022400000,1138371605.850529
505,1630108800000,1244726945.267564
506,1630195200000,1321216884.77961
507,1630281600000,1466877316.625561
508,1630368000000,2008173267.4724731
509,1630454400000,1840967827.9445665
510,1630540800000,2226922547.9737263
511,1630627200000,2163513894.249038
512,1630713600000,2444800446.262078
513,1630800000000,2691677682.1698246
514,1630886400000,3057335091.3695607
515,1630972800000,3582621704.7990885
516,1631059200000,3586901905.562941
517,1631145600000,4050558279.65296
518,1631232000000,4214437559.6793213
519,1631318400000,3803587189.4523463
520,1631404800000,3905971376.7828045
521,1631491200000,3703795582.271969
522,1631577600000,3333223611.603233
523,1631664000000,3030569751.0869946
524,1631750400000,3663895754.6991825
525,1631836800000,3348089244.1954284
526,1631923200000,3195796699.9336677
527,1632009600000,3365328264.1426005
528,1632096000000,3687157041.5127544
529,1632182400000,2881075160.270873
530,1632268800000,2466037900.3844914
531,1632355200000,3151122430.9179955
532,1632441600000,3186634822.2261696
533,1632528000000,3031419123.083328
534,1632614400000,3160129114.7339725
535,1632700800000,2998710106.201264
536,1632787200000,3248267834.9404325
537,1632873600000,3027156511.3393874
538,1632960000000,3027821254.7462683
539,1633046400000,3062318452.90437
540,1633132800000,3605839485.8745146
541,1633219200000,3720764460.582949
542,1633305600000,3741785456.8801866
543,1633392000000,3578887502.7926083
544,1633478400000,3578491533.4269876
545,1633564800000,4035392439.1737776
546,1633651200000,5188644586.290247
547,1633737600000,5853283045.264336
548,1633824000000,5550829942.273198
549,1633910400000,5199713376.654638
550,1633996800000,5911306774.192053
551,1634083200000,5335428408.95087
552,1634169600000,5108498375.231859
553,1634256000000,5162798734.304297
554,1634342400000,4932711336.4917
555,1634428800000,5474686544.316273
556,1634515200000,5803329248.436077
557,1634601600000,5683192976.982083
558,1634688000000,6054416248.012865
559,1634774400000,6128300983.015726
560,1634860800000,5658932871.366943
561,1634947200000,6645678568.305611
562,1635033600000,6505665169.419231
563,1635120000000,6862379972.203553
564,1635206400000,7642834323.766981
565,1635292800000,8013289050.513225
566,1635379200000,8074669955.315542
567,1635465600000,7530707322.703501
568,1635552000000,7312412019.393554
569,1635638400000,6720415282.540789
570,1635724800000,7303270121.964381
571,1635811200000,6859059941.3383465
572,1635897600000,6909459156.403831
573,1635984000000,6734165393.091383
574,1636070400000,6731998978.161061
575,1636156800000,6767395092.053391
576,1636243200000,7050254602.725911
577,1636329600000,7202410017.521441
578,1636416000000,7956214740.279333
579,1636502400000,7298658423.761665
580,1636588800000,6648045923.821594
581,1636675200000,6669038786.109273
582,1636761600000,6718556397.126994
583,1636848000000,6699591167.834446
584,1636934400000,6576188677.189075
585,1637020800000,6303706754.417181
586,1637107200000,5651151400.107486
587,1637193600000,5464810167.86441
588,1637280000000,4645038047.200253
589,1637366400000,5719584363.841979
590,1637452800000,5549546635.607691
591,1637539200000,5395989828.952625
592,1637625600000,4966166232.430885
593,1637712000000,5858570700.6068735
594,1637798400000,6538355717.415235
595,1637884800000,6286473126.67255
596,1637971200000,5356959207.941992
597,1638057600000,5235423181.086255
598,1638144000000,5361405146.495656
599,1638230400000,5524114813.929098
600,1638316800000,5476963296.0883665
601,1638403200000,5443973678.768326
602,1638489600000,5249548452.359548
603,1638576000000,5073343845.707995
604,1638662400000,4342922599.8669195
605,1638748800000,3905478225.997573
606,1638835200000,4068738943.871122
607,1638921600000,4054531662.823294
608,1639008000000,4110539056.803713
609,1639094400000,3653756441.0772867
610,1639180800000,3649600968.0675783
611,1639267200000,3773725238.996291
612,1639353600000,3779074588.795461
613,1639440000000,3257001185.307833
614,1639526400000,3328574626.3839164
615,1639612800000,3749126328.2423244
616,1639699200000,3646251492.5045133
617,1639785600000,3564657266.96234
618,1639872000000,3610381964.365974
