,Time,Polymath Market Cap
599,1638230400000,734668484.457002
600,1638316800000,691311034.0689876
601,1638403200000,681260064.4126296
602,1638489600000,666189934.0563309
603,1638576000000,625801246.8288889
604,1638662400000,549052478.276221
605,1638748800000,491728046.18577814
606,1638835200000,530823757.6074618
607,1638921600000,534494075.34166974
608,1639008000000,533030981.2225816
609,1639094400000,494351216.27433205
610,1639180800000,469842744.8704111
611,1639267200000,484375959.81708115
612,1639353600000,488077981.1426988
613,1639440000000,440167565.82681364
614,1639526400000,449190871.6451786
615,1639612800000,463692715.09052336
616,1639699200000,459376958.4511594
617,1639785600000,447375223.8945803
618,1639872000000,456372815.17245585
619,1639958400000,446528612.8660444
620,1640044800000,442662750.5874128
621,1640131200000,456906642.08445716
622,1640217600000,464435025.11682475
623,1640304000000,488208844.7207904
624,1640390400000,492535372.81872714
625,1640476800000,499661286.54592156
626,1640563200000,497510431.66934055
627,1640649600000,500605029.033556
628,1640736000000,455048238.5113477
629,1640822400000,431182456.49196094
630,1640908800000,436048092.5147251
631,1640995200000,434179393.20655954
632,1641081600000,443632276.0359482
633,1641168000000,538269248.7892185
634,1641254400000,500344585.8962772
635,1641340800000,487916079.6375887
636,1641427200000,453430834.1240405
637,1641513600000,451732426.20852196
638,1641600000000,457086829.2875205
639,1641686400000,431483834.46919674
640,1641772800000,450172146.4416315
641,1641859200000,433549201.29436624
642,1641945600000,440639658.5496289
643,1642032000000,456359356.889397
644,1642118400000,437632624.46481395
645,1642204800000,439338732.6297579
646,1642291200000,445073960.0708092
647,1642377600000,459491572.8056211
648,1642464000000,437133508.72132033
649,1642550400000,423791651.51737016
650,1642636800000,411728040.972819
651,1642723200000,398683136.77701414
652,1642809600000,339906040.0734055
653,1642896000000,305256761.17954016
654,1642982400000,322206212.4255371
655,1643068800000,323621236.3543263
656,1643155200000,324895610.0208404
657,1643241600000,330060546.80760497
658,1643328000000,333466162.2685822
659,1643414400000,350104279.16234744
660,1643500800000,352156271.1853191
661,1643587200000,344687704.1714257
662,1643673600000,349474860.3117794
663,1643760000000,351041890.2008494
664,1643846400000,368903613.37064296
665,1643932800000,385275598.2529036
666,1644019200000,408224583.1079946
667,1644105600000,459278800.5034342
668,1644192000000,458743760.7867928
669,1644278400000,456624615.3356162
670,1644364800000,442021225.83864135
671,1644451200000,441115807.4980515
672,1644537600000,416824437.4169195
673,1644624000000,399079871.11537373
674,1644710400000,393450514.71046394
675,1644796800000,389322688.2712124
676,1644883200000,385966119.6282682
677,1644969600000,408486901.128
678,1645056000000,406675818.08445495
679,1645142400000,368892353.1622595
680,1645228800000,363517807.43843436
681,1645315200000,354288888.0331826
682,1645401600000,338329002.23756516
683,1645488000000,305257053.7019218
684,1645574400000,315460354.52261484
685,1645660800000,316001828.0477239
686,1645747200000,306323419.3472853
