Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2021-01-12,97551374.06150249,652529246.5605841,56380530.34290275,37495863245.02223,11933920.941776585,2242764.288684192,2105779231.942485,5119148557.747889
2021-01-13,75016318.35179248,597978132.5142691,51466850.292013325,32166268470.073757,10263282.945425725,5409756.927321402,1056283724.9934592,3423237246.197349
2021-01-14,76404702.33595315,599233551.3479655,61594231.52451959,34339866026.50668,7029711.152701274,3085469.305549663,1255212720.4670875,3830269072.4567375
2021-01-15,58075508.18361369,644644087.6941874,63518386.817718014,39499008134.40842,16381263.57979706,2844340.032268725,1465077080.3600328,3539150045.4070897
2021-01-16,99803415.70677254,685226682.5080959,68917856.79961573,38277998837.56892,18798033.90580877,6254527.860496708,1365604384.164025,3219537933.3068643
2021-01-17,93623327.60068645,782336096.7872308,91943260.54094292,35508914212.36928,15525949.377815563,4315885.952608441,1289872845.2533755,2702518877.421779
2021-01-18,92855359.6361952,642880517.4489744,70131401.00259763,30802895108.229195,13117031.039359637,3801146.5171310618,1250859936.2378097,2636794498.898764
2021-01-19,70082464.78928855,925423978.3094244,69784872.44305524,52274850962.437416,10217009.276317691,3013047.811538565,1158453014.4283664,4329912741.449357
2021-01-20,58455688.05431196,773096223.0028383,66882124.147815794,52021227614.32531,11427241.36604888,6434207.869335951,1311358697.3773456,3435836186.364772
2021-01-21,56210951.53133906,727050005.3357811,62699943.75868598,49658518028.423325,14194537.327559354,3198227.970843556,1402064859.6066587,3432332258.47658
2021-01-22,78912922.70962742,529413658.3083043,63281027.685247526,48657448380.08583,12005700.867477292,2893149.135420659,1658863004.0213392,3735006905.770562
2021-01-23,34563933.45906492,530395845.22519046,48437059.43545375,30774910632.149376,64506215.62447242,7135941.870707895,1108680423.3159966,2366507204.2381835
2021-01-24,39857016.48670482,511146060.0042524,48283234.40909274,39913977039.25946,153833042.01886705,3315337.2650256963,1173414463.1238158,1991913877.8750143
2021-01-25,102071940.744134,570986736.9519608,49167734.224134594,44124188232.248085,79739146.07574508,10625306.894674849,1394838347.9095826,2148246353.085917
2021-01-26,99915130.853126,610970650.8481272,45217672.48430645,40367492548.54314,86471986.57106473,2107393.611126735,918613915.268727,1978755667.4820125
2021-01-27,41769652.736767605,571180935.5851054,53360388.72867064,38752412145.036766,172948620.37352654,1741044.4993164956,1152845141.2757697,2101770534.4904563
2021-01-28,39406683.91005037,602130391.232156,71712365.22694016,32668893126.715782,223067721.18840975,2634308.19764569,811142539.2558234,2031290320.2196465
