,Time,Cronos Market Cap
513,1630800000000,4327258938.411889
514,1630886400000,4684972122.300214
515,1630972800000,5143584107.261806
516,1631059200000,4250825258.4499044
517,1631145600000,4316644613.619958
518,1631232000000,4595093349.769836
519,1631318400000,4313339454.6921835
520,1631404800000,4499989497.432322
521,1631491200000,4638852980.664594
522,1631577600000,4440681610.4917145
523,1631664000000,4640927868.146696
524,1631750400000,4800380208.307193
525,1631836800000,4838554373.915247
526,1631923200000,4772195771.697916
527,1632009600000,4770810657.644889
528,1632096000000,4683143531.469827
529,1632182400000,4064839007.5564423
530,1632268800000,3800428536.0290017
531,1632355200000,4199622746.56664
532,1632441600000,4324981895.577963
533,1632528000000,4043608493.7092304
534,1632614400000,4013997392.2145634
535,1632700800000,4003009687.9977713
536,1632787200000,3945907432.607524
537,1632873600000,3714166471.126331
538,1632960000000,3787342013.933387
539,1633046400000,4019244740.581617
540,1633132800000,4365979202.86776
541,1633219200000,4438436664.471578
542,1633305600000,4609639276.002836
543,1633392000000,4549247879.456891
544,1633478400000,4586947971.881432
545,1633564800000,4748029661.163819
546,1633651200000,4696090167.343331
547,1633737600000,4850501344.939507
548,1633824000000,4902364605.89095
549,1633910400000,4773632507.791331
550,1633996800000,4859075787.626708
551,1634083200000,4704555919.624012
552,1634169600000,4740276066.732132
553,1634256000000,4728043275.939581
554,1634342400000,4791243337.925858
555,1634428800000,4841389196.71652
556,1634515200000,4755624236.9808
557,1634601600000,4704138377.637595
558,1634688000000,4732422060.114373
559,1634774400000,4832119734.5713415
560,1634860800000,4771197801.966431
561,1634947200000,4736291861.281908
562,1635033600000,4891215178.965266
563,1635120000000,4861750243.270246
564,1635206400000,5080909182.358885
565,1635292800000,5171228425.049307
566,1635379200000,4739526717.527175
567,1635465600000,5115175648.852191
568,1635552000000,5678532084.254807
569,1635638400000,5396661610.19791
570,1635724800000,5348726268.686862
571,1635811200000,5371557909.539327
572,1635897600000,6403779144.663249
573,1635984000000,6745838606.95403
574,1636070400000,7248624404.172502
575,1636156800000,9470426117.05156
576,1636243200000,8564645588.188307
577,1636329600000,8861740217.134653
578,1636416000000,10084773360.461758
579,1636502400000,8964508012.604202
580,1636588800000,8345666618.19658
581,1636675200000,8796774675.997065
582,1636761600000,9041616206.045097
583,1636848000000,9926998370.737812
584,1636934400000,11036179874.792906
585,1637020800000,11343346732.306522
586,1637107200000,10554015651.73411
587,1637193600000,13007682570.455559
588,1637280000000,12640555790.833717
589,1637366400000,14241186435.670538
590,1637452800000,14735425073.969046
591,1637539200000,18695601708.84317
592,1637625600000,18323962406.450817
593,1637712000000,22766071274.228863
594,1637798400000,22430211802.122715
595,1637884800000,20345015910.644917
596,1637971200000,17403635968.79388
597,1638057600000,19557022579.260014
598,1638144000000,18976995020.146336
599,1638230400000,18085054784.3342
600,1638316800000,17452627259.522755
601,1638403200000,18228212955.034332
602,1638489600000,17414552222.823162
603,1638576000000,16089741924.18896
604,1638662400000,15252787381.71453
605,1638748800000,14184961699.192955
606,1638835200000,15046023617.258924
607,1638921600000,15287088367.361662
608,1639008000000,15393179049.082905
609,1639094400000,14457474969.607529
610,1639180800000,13935668230.253883
611,1639267200000,14564036175.018494
612,1639353600000,15167216568.556715
613,1639440000000,13422898241.415306
614,1639526400000,13745005657.347994
615,1639612800000,14035201669.835716
616,1639699200000,13665236112.920538
617,1639785600000,13204935182.6736
618,1639872000000,13337510220.489658
619,1639958400000,13016930261.276907
620,1640044800000,12697635486.866903
621,1640131200000,13449953710.520126
622,1640217600000,13622472574.101322
623,1640304000000,15034619427.15809
624,1640390400000,15867322601.758295
625,1640476800000,16437077612.513536
626,1640563200000,15786048919.496773
