,Time,Polymath Volume
636,1641427200000,43151512.95399373
637,1641513600000,33016332.30792026
638,1641600000000,49800816.49079389
639,1641686400000,28770881.485731285
640,1641772800000,70282740.53280252
641,1641859200000,24582617.338434562
642,1641945600000,18140316.02960066
643,1642032000000,16225017.723586807
644,1642118400000,17869162.81344764
645,1642204800000,11842086.499644253
646,1642291200000,9387592.426755596
647,1642377600000,69680047.50040793
648,1642464000000,15872139.847783532
649,1642550400000,13087002.495572196
650,1642636800000,11894698.770762859
651,1642723200000,14649927.696098447
652,1642809600000,24943493.16648567
653,1642896000000,22595965.92088913
654,1642982400000,20791280.69952821
655,1643068800000,19091081.223539207
656,1643155200000,13372734.50671806
657,1643241600000,20760988.439666282
658,1643328000000,13415650.729031857
659,1643414400000,23958253.499213707
660,1643500800000,11669618.057946542
661,1643587200000,8627565.934835136
662,1643673600000,18494262.961151484
663,1643760000000,9186128.166558864
664,1643846400000,68032826.11971475
665,1643932800000,52267804.16533029
666,1644019200000,47656297.50176156
667,1644105600000,64841973.47051194
668,1644192000000,55352684.78830065
669,1644278400000,25199474.002048492
670,1644364800000,23093708.781463895
671,1644451200000,13913654.562847367
672,1644537600000,17499496.093505207
673,1644624000000,15591837.80778267
674,1644710400000,9638845.70261194
675,1644796800000,6867712.76424122
676,1644883200000,7076034.727923151
677,1644969600000,8417565.10116702
678,1645056000000,9503440.489096064
679,1645142400000,10058349.526360918
680,1645228800000,8528282.150808554
681,1645315200000,5891671.0897542825
682,1645401600000,9356034.572804919
683,1645488000000,12214023.94465987
684,1645574400000,11290585.391251411
685,1645660800000,9057821.958670378
686,1645747200000,15679237.08047894
687,1645833600000,86124897.09075373
688,1645920000000,25381482.0604487
689,1646006400000,11542012.827255778
690,1646092800000,19701910.893936478
691,1646179200000,354059305.794476
692,1646265600000,66283251.977018535
693,1646352000000,19299430.913325086
694,1646438400000,43971198.57261678
695,1646524800000,12489669.117541298
696,1646611200000,14959799.311381752
697,1646697600000,12934432.778285036
698,1646784000000,19142937.86404221
699,1646870400000,21456623.44634177
700,1646956800000,11125346.4315523
701,1647043200000,11207933.179322617
702,1647129600000,4827935.610960967
703,1647216000000,5310922.249741221
704,1647302400000,8870509.316393413
705,1647388800000,23720353.803727455
706,1647475200000,12922781.597901583
707,1647561600000,15990160.890778942
708,1647648000000,13089342.79833082
709,1647734400000,12563048.086632408
710,1647820800000,53357993.23802161
711,1647907200000,11920594.201017529
712,1647993600000,13296034.677457632
713,1648080000000,30323518.707240455
714,1648166400000,15850774.563948907
715,1648252800000,17314253.016361758
716,1648339200000,18734653.816459186
717,1648425600000,67399196.41240554
718,1648512000000,31068632.709587898
719,1648598400000,32876225.086043246
720,1648684800000,30637159.018108223
721,1648771200000,45949125.76275898
722,1648857600000,33659036.164123654
723,1648944000000,47601161.774326645
724,1649030400000,28282643.570558008
725,1649116800000,35547093.00188212
726,1649203200000,15826252.020371065
727,1649289600000,26558207.322261535
728,1649376000000,16496909.755110847
729,1649462400000,14039730.42930086
730,1649523942000,13329544.19446293
